Child_Term,Parent_Term,Relation
GO:0030122,GO:0030136,is_a
GO:0030122,GO:0030659,is_a
GO:0030122,GO:0030132,part_of
GO:0030122,GO:0044459,is_a
GO:0030122,GO:0044433,is_a
GO:0030122,GO:0016023,is_a
GO:0019897,GO:0019898,is_a
GO:0019897,GO:0044459,is_a
GO:0009898,GO:0044459,is_a
GO:0033101,GO:0044459,is_a
GO:0033101,GO:0005933,part_of
GO:0030132,GO:0030118,is_a
GO:0030132,GO:0005905,part_of
GO:0030132,GO:0044459,is_a
GO:0008076,GO:0034702,is_a
GO:0008076,GO:0005887,part_of
GO:0008076,GO:0044459,is_a
GO:0000148,GO:0044459,is_a
GO:0000148,GO:0043234,is_a
GO:0005886,GO:0071944,part_of
GO:0005886,GO:0031975,has_part
GO:0005886,GO:0016020,is_a
GO:0044459,GO:0005886,part_of
GO:0044459,GO:0044425,is_a
GO:0032133,GO:0005875,is_a
GO:0030286,GO:0005875,is_a
GO:0005871,GO:0005875,is_a
GO:0045298,GO:0044430,is_a
GO:0045298,GO:0043234,is_a
GO:0030479,GO:0030864,part_of
GO:0030479,GO:0044430,is_a
GO:0030479,GO:0044448,is_a
GO:0030478,GO:0030864,part_of
GO:0030478,GO:0044430,is_a
GO:0030478,GO:0044448,is_a
GO:0031941,GO:0005884,part_of
GO:0031941,GO:0044430,is_a
GO:0031941,GO:0043234,is_a
GO:0035371,GO:0005874,part_of
GO:0035371,GO:0044430,is_a
GO:0032160,GO:0044430,is_a
GO:0032160,GO:0032156,is_a
GO:0032161,GO:0044430,is_a
GO:0032161,GO:0032156,part_of
GO:0032161,GO:0044448,is_a
GO:0032161,GO:0032155,is_a
GO:0031105,GO:0044430,is_a
GO:0031105,GO:0032156,part_of
GO:0031105,GO:0044448,is_a
GO:0031105,GO:0043234,is_a
GO:0005940,GO:0044430,is_a
GO:0005940,GO:0032156,is_a
GO:0005940,GO:0044448,is_a
GO:0005875,GO:0044430,is_a
GO:0005875,GO:0015630,part_of
GO:0005875,GO:0043234,is_a
GO:0005874,GO:0044430,is_a
GO:0005874,GO:0015630,part_of
GO:0005874,GO:0043234,is_a
GO:0032432,GO:0044430,is_a
GO:0032432,GO:0015629,part_of
GO:0016459,GO:0044430,is_a
GO:0016459,GO:0015629,part_of
GO:0016459,GO:0043234,is_a
GO:0008290,GO:0044430,is_a
GO:0008290,GO:0015629,part_of
GO:0008290,GO:0043234,is_a
GO:0005885,GO:0044430,is_a
GO:0005885,GO:0015629,part_of
GO:0005885,GO:0043234,is_a
GO:0005884,GO:0044430,is_a
GO:0005884,GO:0015629,part_of
GO:0005884,GO:0043234,is_a
GO:0005869,GO:0005875,is_a
GO:0005869,GO:0015629,part_of
GO:0030864,GO:0044430,is_a
GO:0030864,GO:0005856,is_a
GO:0030864,GO:0015629,part_of
GO:0030864,GO:0044448,is_a
GO:0005882,GO:0044430,is_a
GO:0005882,GO:0005856,part_of
GO:0005882,GO:0043234,is_a
GO:0044430,GO:0005856,part_of
GO:0044430,GO:0044446,is_a
GO:0032156,GO:0005856,is_a
GO:0015630,GO:0005856,is_a
GO:0005856,GO:0043232,is_a
GO:0015629,GO:0005856,is_a
GO:0005847,GO:0005849,is_a
GO:0005844,GO:0030529,is_a
GO:0015935,GO:0044391,is_a
GO:0015935,GO:0044446,is_a
GO:0015934,GO:0044391,is_a
GO:0015934,GO:0044446,is_a
GO:0022627,GO:0015935,is_a
GO:0022627,GO:0022626,part_of
GO:0022625,GO:0015934,is_a
GO:0022625,GO:0022626,part_of
GO:0044391,GO:0005840,part_of
GO:0044391,GO:0030529,is_a
GO:0044391,GO:0044446,is_a
GO:0042788,GO:0005844,part_of
GO:0042788,GO:0005840,is_a
GO:0072380,GO:0044445,is_a
GO:0072380,GO:0043234,is_a
GO:0016272,GO:0044445,is_a
GO:0016272,GO:0043234,is_a
GO:0009316,GO:0044445,is_a
GO:0009316,GO:0043234,is_a
GO:0005945,GO:0044445,is_a
GO:0005945,GO:0043234,is_a
GO:0005942,GO:0044445,is_a
GO:0005942,GO:0043234,is_a
GO:0022626,GO:0005840,is_a
GO:0022626,GO:0044445,is_a
GO:0005835,GO:0044445,is_a
GO:0005835,GO:0043234,is_a
GO:0005832,GO:0044445,is_a
GO:0005832,GO:0043234,is_a
GO:0000015,GO:0044445,is_a
GO:0000015,GO:0043234,is_a
GO:0000142,GO:0005935,part_of
GO:0000142,GO:0005826,is_a
GO:0005828,GO:0005876,is_a
GO:0072687,GO:0005819,is_a
GO:0072686,GO:0005819,is_a
GO:0051233,GO:0044430,is_a
GO:0051233,GO:0005819,part_of
GO:0005876,GO:0005874,is_a
GO:0005876,GO:0005819,part_of
GO:0005819,GO:0043232,is_a
GO:0005819,GO:0044430,is_a
GO:0005819,GO:0015630,part_of
GO:0000235,GO:0043232,part_of
GO:0000235,GO:0044430,part_of
GO:0000235,GO:0005876,is_a
GO:0000235,GO:0005819,part_of
GO:0000235,GO:0005881,is_a
GO:0030140,GO:0030136,is_a
GO:0030140,GO:0030133,is_a
GO:0030140,GO:0005798,is_a
GO:0030137,GO:0030135,is_a
GO:0030137,GO:0005798,is_a
GO:0005797,GO:0031985,is_a
GO:0000138,GO:0031985,is_a
GO:0070916,GO:0044431,is_a
GO:0070916,GO:0043234,is_a
GO:0034066,GO:0044431,is_a
GO:0034066,GO:0043234,is_a
GO:0034044,GO:0030140,part_of
GO:0034044,GO:0044433,is_a
GO:0034044,GO:0044431,is_a
GO:0034044,GO:0043234,is_a
GO:0030121,GO:0030131,is_a
GO:0030121,GO:0030130,part_of
GO:0030121,GO:0044433,is_a
GO:0030121,GO:0044431,is_a
GO:0030126,GO:0030120,is_a
GO:0030126,GO:0044431,is_a
GO:0030126,GO:0030663,part_of
GO:0017119,GO:0044431,is_a
GO:0017119,GO:0043234,is_a
GO:0030130,GO:0030125,is_a
GO:0030130,GO:0044431,is_a
GO:0030130,GO:0012510,part_of
GO:0005802,GO:0044431,is_a
GO:0030008,GO:0005801,part_of
GO:0030008,GO:0044431,is_a
GO:0030008,GO:0043234,is_a
GO:0005801,GO:0044431,is_a
GO:0005798,GO:0016023,is_a
GO:0005798,GO:0044431,is_a
GO:0005796,GO:0044431,is_a
GO:0005796,GO:0070013,is_a
GO:0031985,GO:0005795,part_of
GO:0031985,GO:0044431,is_a
GO:0031985,GO:0044446,is_a
GO:0005795,GO:0044431,is_a
GO:0000938,GO:0044433,is_a
GO:0000938,GO:0016023,part_of
GO:0000938,GO:0044431,is_a
GO:0000938,GO:0043234,is_a
GO:0030176,GO:0031301,is_a
GO:0030176,GO:0031227,is_a
GO:0097038,GO:0048471,part_of
GO:0097038,GO:0044432,is_a
GO:0043529,GO:0044432,is_a
GO:0043529,GO:0043234,is_a
GO:0032541,GO:0044448,is_a
GO:0032541,GO:0044432,is_a
GO:0031207,GO:0031205,part_of
GO:0031207,GO:0044432,is_a
GO:0031207,GO:0044425,is_a
GO:0031207,GO:0043234,is_a
GO:0071256,GO:0030867,part_of
GO:0071256,GO:0044432,is_a
GO:0071256,GO:0044425,is_a
GO:0071256,GO:0043234,is_a
GO:0031205,GO:0030867,part_of
GO:0031205,GO:0044432,is_a
GO:0031205,GO:0044425,is_a
GO:0031205,GO:0043234,is_a
GO:0042765,GO:0030176,part_of
GO:0042765,GO:0044432,is_a
GO:0042765,GO:0044425,is_a
GO:0042765,GO:0043234,is_a
GO:0017177,GO:0044432,is_a
GO:0017177,GO:0043234,is_a
GO:0043541,GO:0005789,part_of
GO:0043541,GO:0044432,is_a
GO:0043541,GO:0044425,is_a
GO:0043541,GO:0043234,is_a
GO:0042406,GO:0031312,is_a
GO:0042406,GO:0005789,part_of
GO:0042406,GO:0044432,is_a
GO:0034098,GO:0005789,part_of
GO:0034098,GO:0044432,is_a
GO:0034098,GO:0044425,is_a
GO:0034098,GO:0043234,is_a
GO:0031502,GO:0005789,part_of
GO:0031502,GO:0044432,is_a
GO:0031502,GO:0031501,is_a
GO:0031502,GO:0044425,is_a
GO:0031227,GO:0031300,is_a
GO:0031227,GO:0005789,part_of
GO:0031227,GO:0044432,is_a
GO:0008250,GO:0005789,part_of
GO:0008250,GO:0044432,is_a
GO:0008250,GO:0044425,is_a
GO:0008250,GO:0043234,is_a
GO:0005789,GO:0031090,is_a
GO:0005789,GO:0042175,part_of
GO:0005789,GO:0044432,is_a
GO:0005789,GO:0044425,is_a
GO:0034099,GO:0005788,part_of
GO:0034099,GO:0044432,is_a
GO:0034099,GO:0043234,is_a
GO:0005788,GO:0044432,is_a
GO:0005788,GO:0070013,is_a
GO:0005787,GO:0005789,part_of
GO:0005787,GO:0044432,is_a
GO:0005787,GO:0044425,is_a
GO:0005787,GO:0043234,is_a
GO:0005785,GO:0030867,part_of
GO:0005785,GO:0044432,is_a
GO:0005785,GO:0044425,is_a
GO:0005785,GO:0043234,is_a
GO:0000506,GO:0044432,is_a
GO:0000506,GO:0043234,is_a
GO:0030867,GO:0005789,is_a
GO:0030867,GO:0005783,part_of
GO:0005782,GO:0044439,is_a
GO:0005782,GO:0070013,is_a
GO:0005779,GO:0031301,is_a
GO:0005779,GO:0031300,is_a
GO:0005779,GO:0005778,part_of
GO:0005779,GO:0044439,is_a
GO:0005780,GO:0031312,is_a
GO:0005780,GO:0005778,part_of
GO:0005780,GO:0044439,is_a
GO:0005778,GO:0031090,is_a
GO:0005778,GO:0044439,is_a
GO:0009514,GO:0005777,is_a
GO:0005775,GO:0044437,is_a
GO:0005775,GO:0070013,is_a
GO:0070772,GO:0005774,part_of
GO:0070772,GO:0044437,is_a
GO:0070772,GO:0044425,is_a
GO:0070772,GO:0043234,is_a
GO:0034448,GO:0005774,part_of
GO:0034448,GO:0044437,is_a
GO:0034448,GO:0044425,is_a
GO:0034448,GO:0043234,is_a
GO:0031310,GO:0031300,is_a
GO:0031310,GO:0005774,part_of
GO:0031310,GO:0044437,is_a
GO:0030897,GO:0005774,part_of
GO:0030897,GO:0044437,is_a
GO:0030897,GO:0044425,is_a
GO:0030897,GO:0043234,is_a
GO:0016471,GO:0016469,is_a
GO:0016471,GO:0005774,part_of
GO:0016471,GO:0044437,is_a
GO:0005774,GO:0031090,is_a
GO:0005774,GO:0044437,is_a
GO:0000221,GO:0033178,is_a
GO:0000221,GO:0016471,part_of
GO:0000221,GO:0044437,is_a
GO:0000220,GO:0033177,is_a
GO:0000220,GO:0016471,part_of
GO:0000220,GO:0044437,is_a
GO:0000421,GO:0005774,is_a
GO:0000421,GO:0005776,part_of
GO:0005776,GO:0005773,is_a
GO:0032585,GO:0031902,is_a
GO:0032585,GO:0005771,part_of
GO:0034449,GO:0044440,is_a
GO:0034449,GO:0043234,is_a
GO:0033565,GO:0044440,is_a
GO:0033565,GO:0043234,is_a
GO:0033263,GO:0044440,is_a
GO:0033263,GO:0043234,is_a
GO:0031303,GO:0031301,is_a
GO:0031303,GO:0031300,is_a
GO:0031303,GO:0010008,part_of
GO:0031303,GO:0044440,is_a
GO:0034424,GO:0010008,part_of
GO:0034424,GO:0044440,is_a
GO:0034424,GO:0044425,is_a
GO:0034424,GO:0043234,is_a
GO:0010009,GO:0010008,part_of
GO:0010009,GO:0044440,is_a
GO:0010009,GO:0044425,is_a
GO:0010008,GO:0031090,is_a
GO:0010008,GO:0044440,is_a
GO:0000815,GO:0010008,part_of
GO:0000815,GO:0044440,is_a
GO:0000815,GO:0044425,is_a
GO:0000815,GO:0043234,is_a
GO:0000814,GO:0010008,part_of
GO:0000814,GO:0044440,is_a
GO:0000814,GO:0044425,is_a
GO:0000814,GO:0043234,is_a
GO:0000813,GO:0010008,part_of
GO:0000813,GO:0044440,is_a
GO:0000813,GO:0044425,is_a
GO:0000813,GO:0043234,is_a
GO:0035658,GO:0005770,part_of
GO:0035658,GO:0044440,is_a
GO:0035658,GO:0043234,is_a
GO:0031902,GO:0010008,is_a
GO:0031902,GO:0005770,part_of
GO:0005771,GO:0005770,is_a
GO:0031901,GO:0010008,is_a
GO:0031901,GO:0005769,part_of
GO:0005770,GO:0005768,is_a
GO:0005769,GO:0005768,is_a
